Course Name,Course URL,Course short desc,Course long desc,Duration,Number of Enrolled,Cost,rating
PRINCE2® 6th Edition Foundation & Practitioner Certification Training Course,https://www.edureka.co/prince2-foundation-and-practitioner-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1149&objPos=17,"Manage projects through elements, principles & processes of PRINCE2®",, 32 Hrs ,,,
Docker Certification Training Course,https://www.edureka.co/docker-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1068&objPos=18,"Includes Docker Containers, Docker Compose, Docker Swarm + 5 more",, 24 Hrs ,7058 Learners,Free,5
SQL Essentials Training,https://www.edureka.co/sql-essentials-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=528&objPos=10,"Learn to DDL, DML, DCL, TCL, Advanced database projects & many more",, 18 Hrs ,,,
PMI® Agile Certified Practitioner Training,https://www.edureka.co/pmi-acp?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=685&objPos=14,"Self-paced course includes Agile, Adaptive Planning, PMI-ACP Tips & more",, 30 Hrs ,,,
Node.js Certification Training Course,https://www.edureka.co/nodejs-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1905&objPos=1,"Develop applications using Express Framework, MongoDB, Rest APIs + 4 more",, 30 Hrs ,8584 Learners,Free,5
Blockchain Developer Certification Course,https://www.edureka.co/blockchain-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=879&objPos=2,"Includes Bitcoin, Ethereum, Hyperledger, MultiChain. + 3 more",, 36 Hrs ,,,
CSPO® Certification Training Course,https://www.edureka.co/cspo-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=893&objPos=4,"Includes Product Management concepts: Scrum, Estimation, Release & more",, 15 Hrs ,,,
Migrating Applications to AWS Training,https://www.edureka.co/migrating-to-aws?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=620&objPos=5,"Plan & Migrate On-premise infrastructure using AWS DMS, SMS & many more",, 18 Hrs ,5850 Learners,Free,5
MongoDB Certification Training Course,https://www.edureka.co/mongodb-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=515&objPos=6,"Includes MongoDB Architecture, Schema Design, Administration & many more",, 30 Hrs ,16380 Learners,,4
Advanced Executive Certificate in Supply Chain Strategy and Operations Management,https://www.edureka.co/advanced-program-in-operations-supply-chain-project-management-iitg?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1861&objPos=7,"Includes Operations, Supply chain management, Project management and more.",, 2 Hrs ,,,
Big Data Hadoop Administration Certification Training,https://www.edureka.co/hadoop-administration-training-certification?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=631&objPos=8,"Includes Hadoop Cluster Setup & Administration, Cloudera Hadoop & many more",, 21 Hrs ,,,
AWS SysOps Administrator Certification Training,https://www.edureka.co/aws-sysops-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=462&objPos=9,"Deploy & manage scalable system using Compute, Storage & many more services",, 24 Hrs ,3885 Learners,Free,5
Data Warehousing and BI Certification Training,https://www.edureka.co/data-warehousing-and-bi?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=145&objPos=10,"Includes: Architecture, Data Modeling, Talend Open Studio, Tableau and more",, 30 Hrs ,,,
Software Testing Fundamentals Course,https://www.edureka.co/software-testing-fundamentals-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=795&objPos=14,"Includes software testing life cycle , writing test-cases +5 more",, 12 Hrs ,,,
Python Django Certification Training Course,https://www.edureka.co/python-django?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1215&objPos=16,"Includes: Python OOPs, Django Web Framework, Dynamic Web Pages, and more",, 30 Hrs ,7542 Learners,Free,5
Advanced Executive Certificate in Business Management in Digital Era,https://www.edureka.co/advanced-executive-program-digital-business-management-iitg?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1969&objPos=17,Advanced Executive Certificate in Business Management in Digital Era,, 130 Hrs ,,,
Apache Cassandra Certification  Training,https://www.edureka.co/cassandra?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=509&objPos=18,"Includes: Architecture, Operations, Managing Cluster and hosting on cloud",, 24 Hrs ,,,
Snowflake Certification Training Course,https://www.edureka.co/snowflake-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1587&objPos=3,"Includes Snowflake fundamentals, data sharing and many more",, 30 Hrs ,,,
Apache Solr Certification Training,https://www.edureka.co/apache-solr-self-paced?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=570&objPos=11,"Includes Lucene library, Solr indexing, solr admin, solr cloud and more",, 24 Hrs ,,,
Unix Shell Scripting Certification Training,https://www.edureka.co/unix?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1407&objPos=12,"Includes Utility commands, Shell Operations & many more",, 30 Hrs ,,,
Microsoft .NET Framework Certification Training,https://www.edureka.co/microsoft-dotnet-framework-self-paced?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1531&objPos=13,"SP course includes: Visual Studio IDE, ADO.NET & more",, 33 Hrs ,,,
Linux Fundamentals Certification Training,https://www.edureka.co/linux-fundamentals-self-paced?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=598&objPos=15,"Learn how to operate, manage, and maintain your linux environment",, 27 Hrs ,,,
Continuous Testing in DevOps,https://www.edureka.co/continuous-testing-devops-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=796&objPos=1,Understand how testing can be integrated within your DevOps lifecycle.,, 12 Hrs ,,,
Data Science with R Programming Certification Training Course,https://www.edureka.co/data-science-r-programming-certification-course?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=338&objPos=3,"Includes R, ML, Recommender Engines, DL, Text Mining and More",, 30 Hrs ,39718 Learners,,5
Data Analytics with R Programming Certification Training,https://www.edureka.co/data-analytics-with-r-certification-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=23&objPos=4,"Includes Project, R, EDA, Regression and Sentiment Analysis and More",, 30 Hrs ,26086 Learners,,5
Computer Science Bootcamp Program,https://www.edureka.co/computer-science-bootcamp-program?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1565&objPos=6,"Includes 8 Self-paced courses: C, C++, SQL, CSS, JavaScript, and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Edureka’s Computer Science Bootcamp is a flagship Masters Program that will help you to gain expertise in the fundamentals of computer science. This program is curated by industry experts to equip you with the skills necessary to design, code, develop &amp; maintain websites, applications, and databases. This program will help you master C, C++, SQL, HTML, CSS, JavaScript, jQuery, and Linux. Also, this course is a boilerplate to get into cutting-edge technologies.
                </div>",Weekend/Weekday Classes,,,
Automation Anywhere Certification Training Course,https://www.edureka.co/automation-anywhere-certification-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=858&objPos=9,"Includes Web automation, Excel Automation, Object Cloning and many more",, 30 Hrs ,,,
Talend Certification Training For Big Data Integration ,https://www.edureka.co/talend-for-big-data?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=511&objPos=10,"Includes: Project using Talend Open Studio, Talend DI and Talend BD, & more",, 30 Hrs ,,,
Mobile App Testing Using Appium,https://www.edureka.co/appium-training-mobile-automation-testing?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=797&objPos=12,Automate tests on native/hybrid android applications using the Appium tool,, 18 Hrs ,,,
Web Developer Masters Course Program,https://www.edureka.co/web-developer-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1527&objPos=17,"Includes 7 Self-paced courses: SQL, HTML, CSS, and more.","Edureka’s Web Development Masters Course Program will enable you to master web development. You will be able to build the structured website using several HTML elements and make it look appealing using several CSS elements such as colors, font styles, text decoration, animations, etc. This Web Developer course is curated by industry experts to equip you with the skills necessary to design and develop dynamic, responsive, and interactive websites using JavaScript & jQuery.",Weekend/Weekday Classes,,,
Comprehensive Java Course Certification Training,https://www.edureka.co/java-course-self-paced?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=14&objPos=2,"Includes: OOPs, Interfaces,Enums, Threads, Exception Handling & more",, 27 Hrs ,,,
Teradata Certification Training,https://www.edureka.co/teradata?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1405&objPos=5,"Includes: Indexes, join statetegies, data protection, utilities and more",, 27 Hrs ,,,
Mastering Magento for E-Commerce Certification Training,https://www.edureka.co/magento-sp?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=219&objPos=7,"Includes: Design/template, request flow, rendering system, EAV Model & more",, 30 Hrs ,,,
CRM Salesforce for Beginners,https://www.edureka.co/crm-salesforce?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=301&objPos=8,"Includes Salesforce CRM, SDFC Security Model, SDFC Configuration, and more",, 24 Hrs ,,,
SAS Training and Certification,https://www.edureka.co/sas-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1403&objPos=11,"Includes: Customizing Datasets, Advanced SAS Procedures, PROC SQL and more",, 27 Hrs ,,,
C Programming Certification Course,https://www.edureka.co/c-programming-course?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1540&objPos=13,"Includes functions, data types, contorl flow etc.",, 21 Hrs ,,,
MySQL DBA Certification Training,https://www.edureka.co/mysql-dba?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1400&objPos=14,"Includes MySQL Workbench, Server, Data Modeling, Command line & more",, 33 Hrs ,,,
JavaScript Certification Training Course,https://www.edureka.co/javascript-certification-training?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1520&objPos=15,"Includes Functions, Objects, Event Handling, Libraries, Frameworks and more",, 18 Hrs ,,,
Advanced MS Excel 2016 Certification Training,https://www.edureka.co/advanced-ms-excel-self-paced?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=546&objPos=16,"Includes: Custom and Conditional Formatting, Macros, Security and more",, 27 Hrs ,,,
MicroStrategy 10 Certification Training,https://www.edureka.co/microstrategy-10-bi?qId=b3dcad852ee1431a3b8c950a8e3ee3c2&index_name=prod_search_results_courses&objId=1416&objPos=18,"Includes: MicroStrategy 10, MicroStrategy Web, SDK, Mobile & more",, 30 Hrs ,,,
Flutter Application Development Course,https://www.edureka.co/flutter-development-certification-course?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=2235&objPos=6,"Includes: Dart Programming, Widgets, Firebase, App Development and more",, 24 Hrs ,8779 Learners,Free,5
IoT Certification Training on Azure,https://www.edureka.co/iot-certification-training?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=491&objPos=9,"Includes: Project with Sensor & Raspberry Pi, IoT Azure implemntaion & more",, 30 Hrs ,,,
Salesforce Admin 201 Certification Training,https://www.edureka.co/salesforce-admin-certification-training?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=785&objPos=13,"Sales Cloud, SDFC Data/ Security Model, Business Automation, and more",, 30 Hrs ,,,
Ethereum Developer Certification Course,https://www.edureka.co/ethereum-developer-course?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=579&objPos=17,"Sales Cloud, SDFC Data/ Security Model, Business Automation, and more",,Weekend/Weekday Classes,,,
Project and Infrastructure Financing,https://www.edureka.co/project-infrastructure-financing?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=302&objPos=1,"SP course includes Syndication Process, Risk Analysis, Budgeting & more",, 18 Hrs ,,,
Pentaho BI Certification Training,https://www.edureka.co/pentaho-business-intelligence-training-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=46&objPos=2,"Includes: Pentaho Report Designer, Data Integration and more",, 27 Hrs ,,,
Microsoft® Project 2013 Training,https://www.edureka.co/msp-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=55&objPos=3,"Includes: Task Management, Listing, Assigning Resources and Project Costs",, 18 Hrs ,,,
ELK Stack Training & Certification,https://www.edureka.co/elk-stack-training-sp?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=507&objPos=4,"Includes: Logstash Parsing, Elasticsearch & visualizing using Kibana",, 39 Hrs ,,,
PHP & MySQL with MVC Frameworks Certification Training,https://www.edureka.co/php-mysql-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=90&objPos=5,"Includes PHP, advance query & data manipulation, MVC and many more",, 33 Hrs ,,,
Git Certification Training,https://www.edureka.co/git-certification-training-course?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=1529&objPos=7,Includes the best practices of distributed SCM in your organization & more.,, 18 Hrs ,,,
C++ Programming Course,https://www.edureka.co/cpp-programming-course?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=1539&objPos=8,"Includes methods, classes, objects, OOPs etc.",, 33 Hrs ,,,
Python Scripting Certification Training,https://www.edureka.co/python-scripting?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=777&objPos=10,"Includes Python Pandas, Numpy, Matplotlib, and more",, 18 Hrs ,,,
Comprehensive MapReduce Certification Training,https://www.edureka.co/comprehensive-mapreduce-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=86&objPos=11,Solve industry use cases by mastering Hadoop Map Reduce Framework,, 9 Hrs ,,,
Persistence with Hibernate Certification Training,https://www.edureka.co/persistence-with-hibernate-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=84&objPos=12,"Master ORM, Inheritance, Search & Validation, and more",, 27 Hrs ,,,
Statistics Essentials for Analytics,https://www.edureka.co/statistics-essentials-for-analytics-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=69&objPos=14,"Includes Probability, Inference, Clustering, Regression and Tests on data",, 18 Hrs ,,,
iOS App Development Certification Training,https://www.edureka.co/ios-development?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=669&objPos=15,"iOS App development by mastering concepts like Swift, iCloud & many more",, 33 Hrs ,,,
Mastering Perl Scripting Certification Training,https://www.edureka.co/mastering-perl-scripting-self-paced?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=622&objPos=16,Develop web applications by mastering Perl Scripting,, 33 Hrs ,,,
Advanced Predictive Modelling in R Certification Training,https://www.edureka.co/advanced-predictive-modeling-in-r-sp?qId=2af8b95bdb2510b3a5fab3f03605a236&index_name=prod_search_results_courses&objId=571&objPos=18,"SP course includes Statistics, Regression, Forecasting & Survival Analysis",, 33 Hrs ,,,
Business Analyst Masters Course ,https://www.edureka.co/business-analyst-certification-course?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2257&objPos=9,"Includes 11 courses: Statistical Analysis, MS SQL, Power BI, and more.","Edureka’s Business Analyst Masters program is curated by industry experts to provide learners with a deep understanding of the principles and practices of business analysis. Learners will gain hands-on experience in designing and implementing data modeling, data preparation, data analysis, querying data, data visualization, and many more key concepts. With our well-researched curriculum, learners will gain the skills necessary to excel as a business analyst and drive successful business outcomes. Enroll today to tap into the potential of business analysis and fast-track your career in this dynamic and ever growing industry.", 1 Hrs ,,,
Advanced Artificial Intelligence Course,https://www.edureka.co/advanced-artificial-intelligence-course-python?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2249&objPos=10,"Includes: NLP, Text Processing, Deep Learning, TensorFlow, OpenCV, and more",, 30 Hrs ,8734 Learners,,5
Data Engineer Masters Program,https://www.edureka.co/data-engineer-certification-course?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2248&objPos=11,"Includes 12 courses: Linux, Big Data, Power BI, and more.","Edureka’s Data Engineer Masters program is curated by industry experts to provide learners with a deep understanding of the principles and practices of data engineering through its extensive coursework and hands-on projects. The well-researched curriculum enables learners to design and build data pipelines, manage databases, and develop data infrastructure to meet the requirements of any organization. Unleash the power of data and accelerate your career— join the global revolution now!", 83 Hrs ,,,
Executive Development Programme in General Management,https://www.edureka.co/executive-general-management-program-iim-raipur?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2111&objPos=14,Learn and build specialist digital skills,, 130 Hrs ,,,
Data Structures and Algorithms using Java Internship Program,https://www.edureka.co/java-data-structures-and-algorithm?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2091&objPos=15,"Includes Java Programming, Data Structures, Algorithms, and many more",, 3 Hrs ,,,
Executive Post Graduate Programme in HRM,https://www.edureka.co/executive-post-graduate-programme-in-hrm?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=2087&objPos=17,This is a two-year master degree program,, 1000 Hrs ,,,
Apache Storm Certification Training,https://www.edureka.co/apache-storm-certification-training?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=531&objPos=1,"Master Stream Data processing using Storm spouts, bolts, topology & more",, 21 Hrs ,,,
Data Warehousing Certification Training,https://www.edureka.co/datawarehousing-self-paced?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=53&objPos=2,"Includes: Dimension & fact, Normalization, Schema, Modeling, ETL & more",, 21 Hrs ,,,
Microsoft SharePoint 2013 Certification Training,https://www.edureka.co/microsoft-sharepoint-2013?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=412&objPos=3,"Includes: SharePoint Object Model, Developing Apps , MMS, BCS and More",, 33 Hrs ,,,
Machine Learning with Mahout Certification Training,https://www.edureka.co/mahout-self-paced?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=31&objPos=4,"Machine Learning, Apache Mahout, Hadoop, Recommendation Engine and more",, 27 Hrs ,,,
Analytics for Retail Banks,https://www.edureka.co/retail-banking?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=280&objPos=5,"Retail Analytics including Marketing Challenges, Customer Acquision & more",, 30 Hrs ,,,
Mastering Neo4j Graph Database Certification Training,https://www.edureka.co/neo4j?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=279&objPos=6,Build applications powered by Neo4j by mastering the Cypher query language,, 18 Hrs ,,,
Mastering Joomla Certification Training,https://www.edureka.co/joomla?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=262&objPos=7,"Create articles, categories, menus, multilingual websites and many more",, 27 Hrs ,,,
Mastering Apache Ambari Certification Training,https://www.edureka.co/apache-ambari?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=246&objPos=8,"Includes: Managing cluster using Ambari, architecture, security and more",, 15 Hrs ,,,
Decision Tree Modeling Using R Certification Training,https://www.edureka.co/decision-tree-modelling-using-r-sp?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=216&objPos=12,"SP course includes: Decision Tree, CHAID, ID3 & Random Forest",, 27 Hrs ,,,
Automation Testing using TestComplete 11.0,https://www.edureka.co/automation-testing-testcomplete?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=214&objPos=13,Perform testing on web and mobile applications using test complete,, 18 Hrs ,,,
Mastering Google Analytics,https://www.edureka.co/digital-media-analytics-sp?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=209&objPos=16,"Includes: Web Analytics, KPIs, Tools Integration,Behavior Analysis & more",, 24 Hrs ,,,
Advanced Java Certification Training,https://www.edureka.co/advanced-java-sp?qId=36c4c21a16e3292f164506f3a520a29e&index_name=prod_search_results_courses&objId=193&objPos=18,"Includes Exceptions, Log4j, collections, network programming and many more",, 33 Hrs ,,,
Post Graduate Certificate in Human Resource Management,https://www.edureka.co/human-resourse-management-course-iim-shillong?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1909&objPos=1,Earn a certificate from IIM Shillong & SHRM India,, 140 Hrs ,,,
Advanced Executive Certificate in Product Management,https://www.edureka.co/advanced-executive-program-in-product-management-iitg?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1884&objPos=2,"Includes Product Conceptualization, Planning. Development and more",, 2 Hrs ,,,
Post Graduate Certificate Program in Data Science,https://www.edureka.co/data-science-program?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1396&objPos=12,"Includes Supervised Machine Learning, Deep Learning, and more",, 150 Hrs ,,,
MapReduce Design Patterns Certification Training,https://www.edureka.co/mapreduce-design-patterns-sp?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=182&objPos=3,"Includes: filtering & join patterns, meta & graph patterns, & more",, 21 Hrs ,,,
Jenkins Certification Training Course,https://www.edureka.co/jenkins-certification-course?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1673&objPos=4,"Includes Jenkins Job, Managing jenkins, Jenkins pipeline and many more",, 21 Hrs ,,,
Ansible Certification Training Course ,https://www.edureka.co/ansible-certification-training?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1672&objPos=5,"Includes Ansible Playbooks, Modules, Roles, automation and many more",, 18 Hrs ,,,
Measuring Social Media ROI,https://www.edureka.co/measuring-social-media-roi-self-paced?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=159&objPos=6,"Includes: Social media plan, ROI of Marketing and more",, 6 Hrs ,,,
jQuery Certification Training Course,https://www.edureka.co/jquery-training?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1521&objPos=7,"Includes DOM Manipulation, jQuery Forms, AJAX, Plugins, jQuery UI and more",, 24 Hrs ,,,
CSS Certification Training Course,https://www.edureka.co/css-certification-course?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1519&objPos=8,"Includes HTML elements like headings, paragraphs, images, links, etc.",, 18 Hrs ,,,
 HTML Certification Training Course,https://www.edureka.co/html-certification-course?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1518&objPos=9,"Includes HTML elements like headings, paragraphs, images, links, etc.",, 18 Hrs ,,,
QlikView Certification Training,https://www.edureka.co/qlikview-certification-training?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1419&objPos=10,"Includes: Scripting, Data Model, Transformation, Charts, Functions & more",, 21 Hrs ,,,
OpenStack Certification Training,https://www.edureka.co/open-stack?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1406&objPos=11,Prepare for OpenStack Administrator Exam by mastering Swift & many more,, 30 Hrs ,,,
Graphical Models Certification Training,https://www.edureka.co/graphical-modelling-course?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1389&objPos=13,"Includes HMM Models, Markov Chain, Bayesian Network, and more",, 18 Hrs ,,,
Reinforcement Learning,https://www.edureka.co/reinforcement-learning-course?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=1388&objPos=14,"Includes Open AI Gym, Banit Algorithm, Dynamic Programming, Deep Q Learning",, 18 Hrs ,,,
Six Sigma Green Belt Certification Training,https://www.edureka.co/six-sigma-green-belt-self-paced?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=138&objPos=15,"Includes: Fishbone/Ishikawa diagram, RCA, Corelation & Statistical Analysis",, 15 Hrs ,,,
Design Patterns Certification Training,https://www.edureka.co/design-patterns-self-paced?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=137&objPos=16,"Includes: Creational, Structural & Behavioral Design Patterns & more",, 27 Hrs ,,,
Comprehensive HBase Certification Training,https://www.edureka.co/comprehensive-hbase?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=127&objPos=17,"Includes: HBase Components & Architecture, Data Models, Operations & more",, 9 Hrs ,,,
Comprehensive Hive Certification Training,https://www.edureka.co/comprehensive-hive?qId=a03951d29291be230876a368ca9d97f3&index_name=prod_search_results_courses&objId=126&objPos=18,"Includes: Hive Architecture, partitions & buckets, Thrift Servers & more",, 9 Hrs ,,,
PG Certification Program in Marketing with Specialization in Digital Marketing,https://www.edureka.co/digital-marketing-certification?qId=3288bb6239088afdcb51bdb3ef039813&index_name=prod_search_results_courses&objId=1173&objPos=2,"Includes: Industry grade Projects, Social Media Marketing, SEO & more",,Weekend/Weekday Classes,,,
Advanced Certification in Cloud Computing,https://www.edureka.co/advanced-cloud-computing-program?qId=3288bb6239088afdcb51bdb3ef039813&index_name=prod_search_results_courses&objId=1104&objPos=3,"Includes Architect & Manage Cloud Solutions, DevOps on Cloud and more",,Weekend/Weekday Classes,,,
Comprehensive Pig Certification Training,https://www.edureka.co/comprehensive-pig-self-paced?qId=3288bb6239088afdcb51bdb3ef039813&index_name=prod_search_results_courses&objId=124&objPos=1,"Includes: Pig Components, Data Models, Operators, UDFs and more",, 6 Hrs ,,,
